run_id,evidence_type,source_type,physical_data_source,experimental_view,telemetry_modality,model,seed,split_strategy,label_source,accuracy,precision,recall,f1_score,auc_roc,false_positives,false_negatives,true_negatives,true_positives,training_time_seconds,inference_time_ms_per_sample,citation_key,claim_scope,notes
hist_synthetic_trace_only_xgb,own_historical_run,synthetic_controlled,Synthetic telemetry generator,Synthetic trace-only controlled validation,traces,XGBoost,not available,previous prototype split; not rerun in corrected package,synthetic controlled labels,not available,not available,not available,0.9714,not available,not available,not available,not available,not available,not available,not available,,controlled validation only,Historical trace-only baseline documented in previous prototype output; not a literature result.
hist_synthetic_multimodal_xgb,own_historical_run,synthetic_controlled,Synthetic telemetry generator,Synthetic multimodal controlled validation,logs+metrics+traces,XGBoost,not available,previous prototype split; not rerun in corrected package,synthetic controlled labels,not available,not available,not available,1.0,not available,not available,not available,not available,not available,not available,not available,,controlled validation only,Historical multimodal synthetic result; validates pipeline behavior only.
hist_graphcache_trainticket_tracerca_xgb,own_historical_run,graph_cache,GitHub TrainTicket/TraceRCA derived graph-cache artifacts,TrainTicket/TraceRCA graph-cache historical evaluation,logs+metrics+traces,XGBoost,not available,previous prototype split; not rerun in corrected package,graph-cache object labels,1.0,1.0,1.0,1.0,1.0,0,0,223,677,not available,not available,,limited graph-cache evidence,Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_graphcache_trainticket_tracerca_autoencoder,own_historical_run,graph_cache,GitHub TrainTicket/TraceRCA derived graph-cache artifacts,TrainTicket/TraceRCA graph-cache historical evaluation,logs+metrics+traces,Autoencoder,not available,previous prototype split; not rerun in corrected package,graph-cache object labels,0.6244,0.9449,0.5318,0.6805,0.8999,21,317,202,360,not available,not available,,limited graph-cache evidence,Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_sockshop_metric_xgb,own_historical_run,metrics_only_csv,GitHub Sock Shop dataset repository,Sock Shop metric-only historical evaluation,metrics,XGBoost,not available,previous prototype split; not rerun in corrected package,fault-injection metadata,0.7452,0.1659,0.9926,0.2843,0.8715,20107,30,54900,4000,not available,not available,,metric-only limitation evidence,Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_sockshop_metric_autoencoder,own_historical_run,metrics_only_csv,GitHub Sock Shop dataset repository,Sock Shop metric-only historical evaluation,metrics,Autoencoder,not available,previous prototype split; not rerun in corrected package,fault-injection metadata,0.9072,0.0977,0.0995,0.0986,0.582,3705,3629,71302,401,not available,not available,,metric-only limitation evidence,Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_zenodo14504481_mlp_aggregate,own_historical_run,independent_csv,Zenodo record 14504481 (CSV-wide feature table),Zenodo record 14504481 CSV-wide historical three-model evaluation,CSV-derived logs+metrics+traces proxies,MLP,aggregate_3_seeds,historical chronological 70/15/15 split,historical feature-table labels,0.7391,0.6845,0.8962,0.7744,0.7888,5626,1395,7850,12039,not available,not available,,historical CSV-wide evidence; MLP implemented but not rerun by final audit script,Documented in previous three-model Overleaf artifact; retained separately from current verified reruns.
hist_zenodo14590730_mlp_aggregate,own_historical_run,independent_csv,Zenodo record 14590730 (CSV-wide feature table),Zenodo record 14590730 CSV-wide historical three-model evaluation,CSV-derived logs+metrics+traces proxies,MLP,aggregate_3_seeds,historical chronological 70/15/15 split,historical feature-table labels,0.7391,0.6845,0.8962,0.7744,0.7888,5626,1395,7850,12039,not available,not available,,historical CSV-wide evidence; MLP implemented but not rerun by final audit script,Documented in previous three-model Overleaf artifact; retained separately from current verified reruns.
rerun_1_sock_shop_csv_wide_metrics_evaluation_autoencoder,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,Autoencoder,"42,123,2026",stratified fallback because chronological test lacked both classes,injection-time metadata from chaos-info CSV files,0.8639020004495391,0.1345006442780093,0.0695296523517382,0.0916359598122421,0.4925910503526381,653.3333333333334,1365.0,not available,not available,12.782235266660186,0.0001566621716335,,metric-only limitation evidence,Corrected three-seed audit rerun. Accuracy std=0.0006118524427428; F1 std=0.014810400487661.
rerun_2_sock_shop_csv_wide_metrics_evaluation_xgboost,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,XGBoost,"42,123,2026",stratified fallback because chronological test lacked both classes,injection-time metadata from chaos-info CSV files,0.5085861991458754,0.1675173413787084,0.9995455578277664,0.2869445580613242,0.7421871305670038,7287.0,0.6666666666666666,not available,not available,0.3860548999994838,0.0009655967630256,,metric-only limitation evidence,Corrected three-seed audit rerun. Accuracy std=0.0008903260202445; F1 std=0.0002680555142679.
rerun_3_tracerca_csv_wide_evaluation_autoencoder,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,Autoencoder,"42,123,2026",stratified fallback because chronological test lacked both classes,explicit anomaly column,0.8592543201644718,0.9383719199163926,0.7692222222222221,0.844783562059444,0.9665285465525546,152.0,692.3333333333334,not available,not available,1.9876052333274856,0.0001693171088032,,main CSV-wide reproducibility evidence,Corrected three-seed audit rerun. Accuracy std=0.0212901725747409; F1 std=0.0283166890384826.
rerun_4_tracerca_csv_wide_evaluation_xgboost,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,XGBoost,"42,123,2026",stratified fallback because chronological test lacked both classes,explicit anomaly column,0.997444018447519,0.9952442629630216,0.9996666666666668,0.9974502637666022,0.999969693601571,14.333333333333334,1.0,not available,not available,0.1733718333319605,0.0008738067445962,,main CSV-wide reproducibility evidence,Corrected three-seed audit rerun. Accuracy std=0.0003470021669388; F1 std=0.0003445645906868.
rerun_5_trainticket_graph_cache_evaluation_autoencoder,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,Autoencoder,"42,123,2026",chronological,graph-cache object label,0.4623931623931623,0.9382598581041992,0.341991341991342,0.4990773997765841,0.6530857354028085,7.0,202.66666666666663,not available,not available,0.1013200000064292,0.0024101709594759,,limited graph-cache evidence,Corrected three-seed audit rerun. Accuracy std=0.043007677351826; F1 std=0.0658216177935466.
rerun_6_trainticket_graph_cache_evaluation_xgboost,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,XGBoost,"42,123,2026",chronological,graph-cache object label,0.8452991452991453,0.9973439153439152,0.8062770562770561,0.8916592130250766,0.9819448843839088,0.6666666666666666,59.66666666666666,not available,not available,0.3669907999962258,0.0056449572643281,,limited graph-cache evidence,Corrected three-seed audit rerun. Accuracy std=0.0064528499446758; F1 std=0.0052240814704064.
lit_admxgb,literature_baseline,literature,external paper,ADMXGB,trace and latency-derived features,XGBoost anomaly classifier,not applicable,reported by literature,reported by literature,0.9996,not available,not available,0.9996,not available,not available,not available,not available,not available,86.3 percent execution-time reduction reported,not available,barata2025xgboost,external literature value; not prototype training,Uses its own TraceRCA setup and reported values; should not be merged with local training metrics.
lit_kad,literature_baseline,literature,external paper,KAD,cluster metrics,"multiple ML/time-series models including SARIMA, HMM, LSTM, and Autoencoder",not applicable,not available,reported by literature,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,kosinska2022clusteranomalies,external literature value; not prototype training,Cluster-level anomaly detection; exact numerical values were not verified from the current artifact set.
