physical_data_source,experimental_view,telemetry_modality,model,split_strategy,label_provenance,independence_status,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,false_positives_mean,false_negatives_mean,training_time_seconds_mean,mean_inference_latency_ms,p95_inference_latency_ms,test_rows_mean
GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop scenario-aware metrics evaluation,metrics+injection_metadata,Autoencoder,"scenario-aware: train normal + container-chaos, validate container-chaos, test node-chaos",fault-injection interval metadata from chaos-info CSV files,independent local metrics dataset; raw logs/traces not present in local view,0.691037567993493,0.0006519913667254944,0.2268591388080646,0.0005923781348276545,0.1427371213796153,0.0014068290956138346,0.1752219963358882,0.001167942310319112,0.4949558613981376,0.0004459270542499565,2200.2,3877.4,20.63167868000164,0.00029396649532510943,0.0003227888693038266,19671.0
GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop scenario-aware metrics evaluation,metrics+injection_metadata,RandomForest,"scenario-aware: train normal + container-chaos, validate container-chaos, test node-chaos",fault-injection interval metadata from chaos-info CSV files,independent local metrics dataset; raw logs/traces not present in local view,0.6196532967312287,0.11337603625018203,0.22760720788069827,0.0025876868673130066,0.27373424718107453,0.2084859532090696,0.2282181012790898,0.05773488743820184,0.5006029936420376,0.001425129173686487,4196.9,3284.9,15.562275510004838,0.015939049000550633,0.01819073822144652,19671.0
GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop scenario-aware metrics evaluation,metrics+injection_metadata,XGBoost,"scenario-aware: train normal + container-chaos, validate container-chaos, test node-chaos",fault-injection interval metadata from chaos-info CSV files,independent local metrics dataset; raw logs/traces not present in local view,0.2476386558893803,0.02165392539074067,0.22986281097109695,0.00021996650237339585,0.9667256245854521,0.04131371908491402,0.3713190054174924,0.00335095006028867,0.4999625005860081,0.0019101911562189903,14649.2,150.5,2.0390295799996236,0.0005177682036282907,0.0006116039202965758,19671.0
GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache derived multimodal tensors,derived graph-cache trace+log+metric tensors,Autoencoder,chronological,graph-cache object label,derived graph cache; limited/supporting evidence only,0.4770916334661354,0.05337133836867014,0.9042161102801556,0.034098224841125346,0.35234375,0.06815258902363873,0.5043219715097488,0.07620468444302964,0.7711908545197741,0.05748789694935041,13.8,248.7,0.06383507999707945,0.0008636055907523964,0.0008636055907523964,502.0
GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache derived multimodal tensors,derived graph-cache trace+log+metric tensors,RandomForest,chronological,graph-cache object label,derived graph cache; limited/supporting evidence only,0.999203187250996,0.0013928404358169277,0.9989623847654936,0.0018126991859498001,1.0,0.0,0.9994801817168527,0.000908381875829324,1.0,3.700743415417188e-17,0.4,0.0,0.6084994200005894,0.09563211154515495,0.09563211154515495,502.0
GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache derived multimodal tensors,derived graph-cache trace+log+metric tensors,XGBoost,chronological,graph-cache object label,derived graph cache; limited/supporting evidence only,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09149033999128733,0.0018192031949506218,0.0018192031949506218,502.0
GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA-main rca_all_dataset explicit-label CSV,traces+latency+labels,Autoencoder,chronological,explicit anomaly column,independent local raw CSV; main CSV-wide evidence,0.9801351006882488,0.008205400500832396,0.9659848952384162,0.00804067101591982,0.9951515461806266,0.009243196569579655,0.9803436678314128,0.008146692931680145,0.9973516869526076,0.001688374137871591,684.6,94.7,17.69702825000568,0.000298375778847282,0.00036672105550492886,39230.0
GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA-main rca_all_dataset explicit-label CSV,traces+latency+labels,RandomForest,chronological,explicit anomaly column,independent local raw CSV; main CSV-wide evidence,0.9969538618404282,0.00015770848154704256,0.9998403622501213,1.625461308820626e-05,0.9940405488429244,0.0003230844307788822,0.9969319955543907,0.00015934299068310538,0.9999941860939009,1.278546426589577e-06,3.1,116.4,15.302302529997542,0.018617067542460793,0.024710983617752605,39230.0
GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA-main rca_all_dataset explicit-label CSV,traces+latency+labels,XGBoost,chronological,explicit anomaly column,independent local raw CSV; main CSV-wide evidence,0.996770328829977,0.00019600044916649064,0.9999948496085702,1.628696775942962e-05,0.9935183288961704,0.00040037895552235905,0.996746031051015,0.00019812952000032192,0.9999965181802042,7.19926384126454e-07,0.1,126.6,1.9495416200021283,0.0007087828855801375,0.0008538731579155733,39230.0
Zenodo record 14504481 (TraceRCA all dataset artifacts),TraceRCA all dataset recursive service-fault CSV windows,metrics,Autoencoder,stratified fallback because chronological test lacked both classes,inject_time.txt metadata when available; otherwise explicit/derived telemetry labels,independent local CSV benchmark view; not the same as TraceRCA-main rca_all_dataset.csv,0.49897039897039897,0.015107273101363228,0.8921921799625114,0.028650666944791858,0.215625,0.030512121908076686,0.3461161886063149,0.03805203339688815,0.44079966329966325,0.05391828174351761,12.8,376.5,0.12019856999686454,0.0006569112059834055,0.0006569112059834055,777.0
