physical_data_source,experimental_view,source_dataset_id,benchmark_or_record_id,telemetry_modality,model,seed,label_provenance,independence_status,split_strategy,balancing_or_threshold,train_rows,validation_rows,test_rows,test_has_both_classes,notes,accuracy,precision,recall,f1,auc_roc,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix,training_time_seconds,inference_time_ms_per_sample
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,XGBoost,42,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,SMOTEENN training-only,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.9971661943657276,0.9943652635067949,1.0,0.9971746717633372,0.9999878848505058,2982,17,0,3000,"[[TN=2982, FP=17], [FN=0, TP=3000]]",0.2075821000034921,0.0007788298020422195
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,Autoencoder,42,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,validation p95 reconstruction threshold,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.8769794965827638,0.9323394495412844,0.813,0.8685897435897436,0.9670896965655219,2822,177,561,2439,"[[TN=2822, FP=177], [FN=561, TP=2439]]",2.090941100002965,0.00014975829329232977
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,XGBoost,123,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,SMOTEENN training-only,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.997832972162027,0.9963443004320373,0.9993333333333333,0.9978365784656349,0.9999768811826165,2988,11,2,2998,"[[TN=2988, FP=11], [FN=2, TP=2998]]",0.16247710000607185,0.0011430071677859227
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,Autoencoder,123,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,validation p95 reconstruction threshold,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.8651441906984497,0.9422688736374647,0.778,0.8522914004016797,0.9691579415360675,2856,143,666,2334,"[[TN=2856, FP=143], [FN=666, TP=2334]]",2.093468799983384,0.0001817302895030825
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,XGBoost,2026,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,SMOTEENN training-only,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.9973328888148024,0.9950232249502322,0.9996666666666667,0.9973395410708347,0.9999443147715905,2984,15,1,2999,"[[TN=2984, FP=15], [FN=1, TP=2999]]",0.15005629998631775,0.0006995832639606491
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,Autoencoder,2026,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,validation p95 reconstruction threshold,27999,6000,5999,1,large raw CSV sampled in a label-aware bounded manner for desktop-feasible evaluation,0.835639273212202,0.9405074365704287,0.7166666666666667,0.8134695421869088,0.9633380015560742,2863,136,850,2150,"[[TN=2863, FP=136], [FN=850, TP=2150]]",1.7784057999961078,0.00017646274361420987
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,XGBoost,42,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,SMOTEENN training-only,69209,14832,14830,1,metrics-only evaluation; labels aligned from container/node chaos interval files,0.5076196898179366,0.16729387615463565,1.0,0.2866354044548652,0.738304078129638,6061,7302,0,1467,"[[TN=6061, FP=7302], [FN=0, TP=1467]]",0.3805190999992192,0.0009668981785171955
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,Autoencoder,42,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,validation p95 reconstruction threshold,69209,14832,14830,1,metrics-only evaluation; labels aligned from container/node chaos interval files,0.8632501685772084,0.12449799196787148,0.06339468302658487,0.08401084010840108,0.4805618847756992,12709,654,1374,93,"[[TN=12709, FP=654], [FN=1374, TP=93]]",8.355741199979093,0.0001072151045078212
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,XGBoost,123,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,SMOTEENN training-only,69209,14832,14830,1,metrics-only evaluation; labels aligned from container/node chaos interval files,0.5087660148347943,0.16761882998171845,1.0,0.2871122419023388,0.7480809187288344,6078,7285,0,1467,"[[TN=6078, FP=7285], [FN=0, TP=1467]]",0.37861779998638667,0.0009460620378318041
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,Autoencoder,123,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,validation p95 reconstruction threshold,69209,14832,14830,1,metrics-only evaluation; labels aligned from container/node chaos interval files,0.8639919082939986,0.15452261306532664,0.08384458077709611,0.10870525850640743,0.49147329196627476,12690,673,1344,123,"[[TN=12690, FP=673], [FN=1344, TP=123]]",14.86122510000132,0.00014585974363739515
