run_id,evidence_type,source_type,physical_data_source,experimental_view,telemetry_modality,model,seed,split_strategy,label_source,result_origin,reproducibility_status,notes
hist_synthetic_trace_only_xgb,own_historical_run,synthetic_controlled,Synthetic telemetry generator,Synthetic trace-only controlled validation,traces,XGBoost,not available,previous prototype split; not rerun in corrected package,synthetic controlled labels,documented previous prototype output,"retained, not overwritten",Historical trace-only baseline documented in previous prototype output; not a literature result.
hist_synthetic_multimodal_xgb,own_historical_run,synthetic_controlled,Synthetic telemetry generator,Synthetic multimodal controlled validation,logs+metrics+traces,XGBoost,not available,previous prototype split; not rerun in corrected package,synthetic controlled labels,documented previous prototype output,"retained, not overwritten",Historical multimodal synthetic result; validates pipeline behavior only.
hist_graphcache_trainticket_tracerca_xgb,own_historical_run,graph_cache,GitHub TrainTicket/TraceRCA derived graph-cache artifacts,TrainTicket/TraceRCA graph-cache historical evaluation,logs+metrics+traces,XGBoost,not available,previous prototype split; not rerun in corrected package,graph-cache object labels,documented previous prototype output,"retained, not overwritten",Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_graphcache_trainticket_tracerca_autoencoder,own_historical_run,graph_cache,GitHub TrainTicket/TraceRCA derived graph-cache artifacts,TrainTicket/TraceRCA graph-cache historical evaluation,logs+metrics+traces,Autoencoder,not available,previous prototype split; not rerun in corrected package,graph-cache object labels,documented previous prototype output,"retained, not overwritten",Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_sockshop_metric_xgb,own_historical_run,metrics_only_csv,GitHub Sock Shop dataset repository,Sock Shop metric-only historical evaluation,metrics,XGBoost,not available,previous prototype split; not rerun in corrected package,fault-injection metadata,documented previous prototype output,"retained, not overwritten",Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_sockshop_metric_autoencoder,own_historical_run,metrics_only_csv,GitHub Sock Shop dataset repository,Sock Shop metric-only historical evaluation,metrics,Autoencoder,not available,previous prototype split; not rerun in corrected package,fault-injection metadata,documented previous prototype output,"retained, not overwritten",Historical result retained for consistency; it is not overwritten by corrected reruns.
hist_zenodo14504481_mlp_aggregate,own_historical_run,independent_csv,Zenodo record 14504481 (CSV-wide feature table),Zenodo record 14504481 CSV-wide historical three-model evaluation,CSV-derived logs+metrics+traces proxies,MLP,aggregate_3_seeds,historical chronological 70/15/15 split,historical feature-table labels,documented previous prototype output,"retained, not overwritten",Documented in previous three-model Overleaf artifact; retained separately from current verified reruns.
hist_zenodo14590730_mlp_aggregate,own_historical_run,independent_csv,Zenodo record 14590730 (CSV-wide feature table),Zenodo record 14590730 CSV-wide historical three-model evaluation,CSV-derived logs+metrics+traces proxies,MLP,aggregate_3_seeds,historical chronological 70/15/15 split,historical feature-table labels,documented previous prototype output,"retained, not overwritten",Documented in previous three-model Overleaf artifact; retained separately from current verified reruns.
rerun_1_sock_shop_csv_wide_metrics_evaluation_autoencoder,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,Autoencoder,"42,123,2026",stratified fallback because chronological test lacked both classes,injection-time metadata from chaos-info CSV files,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.0006118524427428; F1 std=0.014810400487661.
rerun_2_sock_shop_csv_wide_metrics_evaluation_xgboost,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,XGBoost,"42,123,2026",stratified fallback because chronological test lacked both classes,injection-time metadata from chaos-info CSV files,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.0008903260202445; F1 std=0.0002680555142679.
rerun_3_tracerca_csv_wide_evaluation_autoencoder,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,Autoencoder,"42,123,2026",stratified fallback because chronological test lacked both classes,explicit anomaly column,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.0212901725747409; F1 std=0.0283166890384826.
rerun_4_tracerca_csv_wide_evaluation_xgboost,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,XGBoost,"42,123,2026",stratified fallback because chronological test lacked both classes,explicit anomaly column,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.0003470021669388; F1 std=0.0003445645906868.
rerun_5_trainticket_graph_cache_evaluation_autoencoder,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,Autoencoder,"42,123,2026",chronological,graph-cache object label,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.043007677351826; F1 std=0.0658216177935466.
rerun_6_trainticket_graph_cache_evaluation_xgboost,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,XGBoost,"42,123,2026",chronological,graph-cache object label,current corrected audit pipeline output,reproduced from available local files,Corrected three-seed audit rerun. Accuracy std=0.0064528499446758; F1 std=0.0052240814704064.
lit_admxgb,literature_baseline,literature,external paper,ADMXGB,trace and latency-derived features,XGBoost anomaly classifier,not applicable,reported by literature,reported by literature,external paper,citation-only comparison,Uses its own TraceRCA setup and reported values; should not be merged with local training metrics.
lit_kad,literature_baseline,literature,external paper,KAD,cluster metrics,"multiple ML/time-series models including SARIMA, HMM, LSTM, and Autoencoder",not applicable,not available,reported by literature,external paper,citation-only comparison,Cluster-level anomaly detection; exact numerical values were not verified from the current artifact set.
lit_delag,literature_baseline,literature,external paper,DeLag,RPC traces and latency patterns,multi-objective optimization for latency degradation pattern detection,not applicable,not available,reported by literature,external paper,citation-only comparison,Targets latency degradation patterns rather than the same binary anomaly-classification task.
lit_rpca_based_microservice_anomaly_detection,literature_baseline,literature,external paper,RPCA-based microservice anomaly detection,metrics and invocation-chain indicators,Robust Principal Component Analysis and anomaly/root-cause analysis,not applicable,not available,reported by literature,external paper,citation-only comparison,"Focuses on anomaly decomposition and root-cause reasoning, not the same supervised detector."
lit_art_fl,literature_baseline,literature,external paper,ART-FL,traces and logs,"asynchronous real-time federated learning with span causal graph, GNN, and PU learning",not applicable,not available,reported by literature,external paper,citation-only comparison,Federated graph-learning setting was not reproduced locally.
